SpecName,diam,organism,Note
Chrysobalanus icaco,22.99,Fruit,
Chrysobalanus icaco,22.39,Fruit,
Chrysobalanus icaco,25.07,Fruit,
Chrysobalanus icaco,24.41,Fruit,
Chrysobalanus icaco,25.45,Fruit,
Chrysobalanus icaco,23.67,Fruit,
Chrysobalanus icaco,20.38,Fruit,
Chrysobalanus icaco,26.47,Fruit,
Chrysobalanus icaco,24.5,Fruit,
Chrysobalanus icaco,24.47,Fruit,
Chrysobalanus icaco,23.94,Fruit,
Chrysobalanus icaco,24.67,Fruit,
Chrysobalanus icaco,26.33,Fruit,
Chrysobalanus icaco,24.42,Fruit,
Chrysobalanus icaco,25.16,Fruit,
Chrysobalanus icaco,23.24,Fruit,
Chrysobalanus icaco,24.2,Fruit,
Chrysobalanus icaco,23.02,Fruit,
Chrysobalanus icaco,22.05,Fruit,
Chrysobalanus icaco,25.35,Fruit,
Chrysobalanus icaco,24.11,Fruit,
Chrysobalanus icaco,25.04,Fruit,
Chrysobalanus icaco,25.55,Fruit,
Chrysobalanus icaco,28.13,Fruit,
Chrysobalanus icaco,26.42,Fruit,
Chrysobalanus icaco,32.5,Fruit,
Chrysobalanus icaco,30.98,Fruit,
Chrysobalanus icaco,29.37,Fruit,
Chrysobalanus icaco,28.81,Fruit,
Chrysobalanus icaco,28.01,Fruit,
Chrysobalanus icaco,28.47,Fruit,
Chrysobalanus icaco,28.86,Fruit,
Chrysobalanus icaco,32.33,Fruit,
Chrysobalanus icaco,26.26,Fruit,
Chrysobalanus icaco,28.04,Fruit,
Chrysobalanus icaco,29.14,Fruit,
Chrysobalanus icaco,28.41,Fruit,
Chrysobalanus icaco,34.2,Fruit,
Chrysobalanus icaco,28.53,Fruit,
Chrysobalanus icaco,27.91,Fruit,
Coccoloba uvifera,15.92,Fruit,
Coccoloba uvifera,16.3,Fruit,
Coccoloba uvifera,15.92,Fruit,
Coccoloba uvifera,16.33,Fruit,
Coccoloba uvifera,16.54,Fruit,
Coccoloba uvifera,15.96,Fruit,
Coccoloba uvifera,16.44,Fruit,
Coccoloba uvifera,16.16,Fruit,
Coccoloba uvifera,16.89,Fruit,
Coccoloba uvifera,15.24,Fruit,
Coccoloba uvifera,16.75,Fruit,
Coccoloba uvifera,16.55,Fruit,
Coccoloba uvifera,16.01,Fruit,
Coccoloba uvifera,16.54,Fruit,
Coccoloba uvifera,15.1,Fruit,
Coccotherinax barbadensis,10.19,Fruit,
Coccotherinax barbadensis,10.18,Fruit,
Coccotherinax barbadensis,10.91,Fruit,
Coccotherinax barbadensis,10.91,Fruit,
Coccotherinax barbadensis,10.44,Fruit,
Coccotherinax barbadensis,11.16,Fruit,
Coccotherinax barbadensis,10.65,Fruit,
Coccotherinax barbadensis,10.98,Fruit,
Coccotherinax barbadensis,11.55,Fruit,
Coccotherinax barbadensis,11.78,Fruit,
Cordia sebestena,27.19,Fruit,
Cordia sebestena,26.51,Fruit,
Cordia sebestena,27.39,Fruit,
Cordia sebestena,21.6,Fruit,
Cordia sebestena,24.39,Fruit,
Cordia sebestena,24.26,Fruit,
Cordia sebestena,26.76,Fruit,
Cordia sebestena,25.44,Fruit,
Cordia sebestena,27.09,Fruit,
Cordia sebestena,23.57,Fruit,
Cordia sebestena,27.09,Fruit,
Cordia sebestena,22.44,Fruit,
Cordia sebestena,25.53,Fruit,
Cordia sebestena,25.55,Fruit,
Cordia sebestena,23,Fruit,
Cordia sebestena,28.84,Fruit,
